# Each line contains x, y coordinates defining the terrain contour
252, -200
252, 108
750, 64
921, 25
1136, 1
1262, 16
1620, 26
1768, 3
2129, 36
2594, 70
3056, 67
3270, 97
3532, 99
3931, 71
4269, 84
4511, 53
4871, 24
5149, 37
5431, 86
5926, 46
6216, 80
6694, 35
7166, 37
7509, 27
8000, 1
8420, 21
8725, 1
9031, 1
9509, 47
9615, 45
9876, 78
10194, 36
10517, 35
10687, 75
10806, 86
11020, 50
11295, 73
11575, 97
11925, 95
12207, 87
12707, 131
13035, 181
13400, 258
13516, 539
13640, 345
13840, 245
14184, 524
14573, 346
14994, 234
15420, 165
15887, 100
16012, 90
16042, 140
16056, 190
16062, 240
16088, 290
16099, 340
16119, 390
16133, 440
16151, 490
16163, 540
16500, 650
